id,question,answer
2069,What is the name of the album that was released in 2010?,The Brothel
2070,What position did Eiliv Skard hold in the University of London?,Reader in philosophy
2071,In what city is the Celestial Pictures headquarters located?,Hong Kong
2072,Who bought the island from the Saipan?,David Gilmour
2073,When was the group Trópico Suemba born?,2003
2074,What was the population of Kansas in 2010?,114
2075,When did Neah Evans start riding for Podium Ambition Pro Cycling?,1 August 1990
2076,What animal is responsible for the name Brantville?,brant goose
2077,What is the name of the world's first peer-reviewed medical journal?,World Medical & Health Policy
2078,What's the name of the book Polson co-authored with James Scott?,AIQ: How People and Machines Are Smarter Together
2079,Who was the author of The Hollow Chest?,Phoebe Atwood Taylor
2080,What is the occupation of Jonathan McIntosh?,producer
2081,What is the main function of the bugs?,camouflage
2082,What did the Nazis and local fascists start to oppose?,more radical proposals of the Popular Front
2083,What is the museum located in the former Cambria Public Library?,The Johnstown Flood Museum
2084,How many full time commissioners does the NIFSAB have?,3
2085,Who did KSK Chaitanya start his first class career with?,Hyderabad
2086,What did the Irish Chamber Orchestra add in 2008?,horn players and oboes
2087,How are glissades compared to sliding?,higher risks of injuries
2088,How many households are inhabited in Hosahudya?,419
2089,What was the name of the mini-series that was published by 88MPH Studios?,Legion
2090,What is the name of the regional park in King County?,Cougar Mountain Regional Wildland Park
2091,What year was The Governors set?,1894
2092,Who wrote the script for 'Gold Throne'?,Bijgupta Laishram
2093,Who created the Argo browser?,Bert Bos
2094,What is the only component of a stem like a harmonic?,notehead
2095,How many games are in the WonderSwan Color?,90
2096,Where is North Montgomery High School?,"unincorporated Montgomery County, Indiana"
2097,When was S7N's debut album released?,"November 25, 2013"
2098,Who was reported as having suicide in March 2015?,farmers
2099,How many races has she won?,6
2100,What language was biblical dictionaries written in?,Yiddish
2101,What position did Shapiro briefly hold at Simon Fraser University?,Professor Emeritus of Marketing
2102,When did Martin Peter Voss start competing in the pole vault?,1991
2103,When did Frank James Moore die?,"October 14, 2013"
2104,What is the largest annelid known to have lived?,Lipolagus ochotensis
2105,What was the job of Colonel John Charles Campbell Daunt VC?,recipient of the Victoria Cross
2106,What was the name of the first non-album single by Jon Foreman?,Fall is the first EP released by Jon Foreman
2107,What Pakistani leader's trial was famous for taking on the side of the Taliban?,Zulfiqar Ali Bhutto
2108,What was the name of the previous game?,Sonic Riders: Zero Gravity
2109,How many teams entered the play-offs of the NOFV-Oberliga?,2
2110,What is the name of the song that was released by Montgomery Gentry?,You Do Your Thing
2111,What year was Debiera haber obispas written?,1977
2112,What did the Polish air force call the planes they used for reconnaissance?,PZL M28B Bryza
2113,It is known to feed on what?,seeds and other small invertebrates
2114,Who made the video game Lords of the Rising Sun?,Cinemaware
2115,When was the first automated citation index created?,1997
2116,Who wrote and directed Bhorer Allo?,Prabhat Roy
2117,Who first described Pterolophia albovariegata?,Stephan von Breuning
2118,What position does Hansen hold with the University of North Carolina at Chapel Hill?,Professor of Economics
2119,Who was the Governor of New York in 1873?,William Milliken
2120,What did Marjut Rimminen study at the Helsinki College of Applied Arts?,graphic design
2121,Who organizes the Miss Zimbabwe pageant?,Kenakor Media
2122,What band was the TH1RT3EN a part of?,Megadeth
2123,How much did the government of Canada spend on the creation of new art?,$900 million
2124,What does an alphabetical list of films produced in Mozambique contain?,only films from Mozambique
2125,What is the largest settlement in the Vatan range?,Motović
2126,What is the name of the fifth full length album by Rollins band?,Come in and Burn
2127,What are the effects of ingesting too much of toxins?,mycotoxicosis
2128,"What does the ""Five Mile/Square Mile"" project glide at?",higher rate in the upper atmosphere
2129,Who presented a theorem showing that two algebraic number fields with the same absolute Galois group are isomorphic?,Jürgen Neukirch
2130,When was Ace of Angels released?,"October 14, 2015"
2131,Which lake is a landmark for classic wooden boat design?,Lake Tahoe
2132,What is the name of the village that is located on the main A970 road?,Quarff
2133,What percentage of the New York voters approved of the new constitution in 1924?,96%
2134,In what county is Weldon located?,"Jackson County, Arkansas"
2135,"What was the name of the Tibetan proponent that said ""The Buddha's name was Dudley""?",David Guangxiao
2136,"What is another name for ""spotted dick""?",railway cake
2137,What was the name of the Las Vegas design shop that introduced Las Vegas contestants to the show?,Midnight Lace
2138,"What's the estimated annual production of bees, wasps and ants?",60000
2139,How long was the animal that washed ashore in the Pragian-age?,3 mm
2140,What position does Karen Louise Bardsley hold with the OL Reign?,goalkeeper
2141,When was Hannah Swensen born?,1943
2142,What is the phenomenon of a morpheme exhibiting variation in its phonological realization called?,an alternation
2143,Who built The Micah Williams House?,Micah Williams
2144,How many programs in the top 10 are on the PBS network?,30
2145,What is the name of the journal published by Taylor & Francis?,Autophagy
2146,Who sculpted the Hunchback of the Rialto?,Pietro da Salò
2147,What was the name of Matthew John Parker born in?,Manchester
2148,When did Richard Carle start playing for the Cincinnati Reds?,"August 30, 1991"
2149,What are top secret agencies of Germany considered to be?,sister organizations
2150,What was the name of the astronomer?,Wang Fan
2151,What was the profession of Gnanou Diagou?,lawyer and professor of law
2152,What two countries used to call the crocus Illyrian?,"Bulgaria, Hungary, Albania, and the former Yugoslavia"
2153,What famous hill was once in the territory of El Carmolí?,El Carmolí zone
2154,Which conservative pundit originally wrote for the New York Daily News?,Robert A. George
2155,Which short story collection did Lisa de Nikolits write?,Crime Writers of Canada
2156,How many members are in the Roman Catholic Diocese of Sunyani?,600000
2157,The origin of which famous Italian humanist is unknown?,Raffaello Maffei
2158,What was the name of the group that was the first hip-hop group in the eastern United States?,Casas Grandes
2159,What is the main feature of the facial femoral syndrome disorder?,underdeveloped thigh bones
2160,How many people lived in the internally displaced camps?,"120,000 to 130,000"
2161,How many times has the Hornets appeared in the NCAA tournament?,3
2162,What stadium did the Spurs play at in Swansea?,Morfa Stadium
2163,What was the name of DirecTV's sixth album?,Seal the Deal & Let's Boogie
2164,"Who won the ""Angel"" for her song?",Ruben Studdard
2165,What is the name of Bocelli's seventh album?,Verdi
2166,What is the name of the only single that Rebecca Lynn Howard released?,Forgive
2167,In what city is Judith Flanders born?,London
2168,Where was the Snow White novel hung in 2006?,London Galerie
2169,In what form is zinc mined?,zinc sulfides
2170,Which squadron was formed in February 1942 for transport duties during World War II?,Royal Australian Air Force (RAAF)
2171,"What was the name of the train that was chartered between Chicago, Illinois and Minneapolis, Minnesota?",The Fast Mail
2172,How many communes does the arrondissement of Epinal have?,236
2173,When do the plants die?,spring or in the autumn
2174,What subjects did James Heyworth-Dunne study under?,Arabic literature
2175,Who wrote The Wolf's Hour?,Robert R. McCammon
2176,"What is the French term for ""laughter and songs""?",Rire & Chansons
2177,When was the Norsk Rettskrivningsordbok published?,1940
2178,In what nationality is Artūras Žulpa born?,Lithuanian
2179,What is the largest concept of the Campaign religion?,Ministry
2180,When did Thomas Warton die?,21 May 1790
2181,Who starred in the film Swept Away?,Kishore Kumar
2182,What part of Finland is Sapsojärvet located in?,northern
2183,What was the name of the ship that was converted to troopship?,Hagerstown Victory
2184,Which professor of philosophy teaches a series of courses called Proceedings in Philosophy?,Harold Innis
2185,What region is Risley Moss in?,Warrington
2186,When was the Diocese of Rio Grande established?,1971
2187,Who won the 2004 Volta a Catalunya race?,Miguel Ángel Martín Perdiguero
2188,When was Tropic Air founded?,1979
2189,What is a notable example of a hardship clause in a contract?,the provision in the WIPO Agreement
2190,What year did Sir William Calthorpe make presentations to the rectory of Beeston?,1460
2191,When was Jonathan Felipe Paredes Hernández born?,4 April 1989
2192,How many species of Rhynchodactylus are known to date?,more than a million
2193,The Hudson River Chain was built for what purpose?,defenses to prevent British naval vessels from sailing upriver
2194,What is the name of the fully customizable application that can be run on Windows 95/98 and Windows 98/2000?,Simpleware Custom Modeler
2195,What day is International Clown Week celebrated on?,August 1-7
2196,How many people live in the municipality?,2495
2197,What was the name of the book written by Robert Charles Forbes?,"""Where the Blood of the American soldiers."""
2198,What did the film replace?,Telugu movie Yedanthasthula Meda
2199,What road is a highway in Nova Scotia?,Bedford Highway
2200,What has led to the extinction of the golden jay Limosa limosa?,stigma
2201,How many acres is Henry Cowell Redwoods State Park?,4623
2202,What is the name of the athletic teams at Dartmouth College?,The Dartmouth Tigers
2203,Who was elected Minister-President of the Landtag by the SPD?,Daniel Günther
2204,How large is the impact crater Salaga?,28.03 km in diameter
2205,What was the name of Brown's first published book?,The New York Times
2206,When did Adriana Masters appear in The Young and the Restless?,2012
2207,What was the name of the J-pop group that released Buono!?,Buono!
2208,What is the surface of the mountain covered with? ,"peat, conifer forests and grazing fields"
2209,How many segmented legs do the long-nosed paramelomys have?,six segmented
2210,What job did Bette's father have?,lawyer
2211,Where is Highline College Library is located?,"Des Moines, Washington"
2212,What is the only substantial Alpine pile-dweller structure from the Vinča culture?,The Alvastra pile-dwelling
2213,What type of specimen is Rhombocheirus lepidus from?,the Rhombocheirus granite massif
2214,What instrument did Sheryl Bailey play?,guitar
2215,What is the name of the district headquartered in Biga?,COMU Faculty of Economics and Administrative Sciences
2216,What is the navy blue and white team in the city of Manhattan called?,Manhattan Wolves
2217,When was the Prix Méditerranée created?,1984
2218,What nationality was Archibald Elliot?,Scottish
2219,What is a full diplomat?,Candidates for the position of ambassador are called first diplomats
2220,What position did Lieutenant Colonel James Van Fleet hold during World War I?,Assistant Secretary of the Treasury
2221,The Business Case album was released on what date?,"September 14, 2010"
2222,What is the name of the historic and cultural region in western Latvia?,The Courland Peninsula
2223,Where is Involvulus velox found?,"Northern Europe, Asia, and North America"
2224,What bridge crosses the Zambezi River?,Armando Emilio Guebuza Bridge
2225,Where is the KZUL-FM radio station located?,"Lake Havasu City, Arizona"
2226,What is the only glycosylase identified that excises alkylation-damaged purine bases in human cells?,AAG
2227,What was the time span of the Thirty Years' War?,1618 to 1648
2228,What was the nickname of Serena Wilson?,"""Serena"""
2229,When was the movie released in English?,2001
2230,Which editor at the News of the World was convicted of phone hacking?,Clive Goodman
2231,When was the Roman Catholic Diocese of Lolo created?,"December 5, 1958"
2232,Where is Calleville-les-Deux-Esquis located?,on the eastern coast of the island of Gibraltar
2233,Who was elected president of Brazil in 2018?,Jair Bolsonaro
2234,What does Beta-thromboglobulin represent?,protein that is stored in alpha-granules of platelets
2235,Who first described the Genlisea africana?,Daniel Oliver
2236,What was the name of the restaurant that first opened in 1989?,Lone Star Steakhouse & Saloon
2237,How many submissions were there in 2003?,4902
2238,What was the focus of the new plan?,To diversify its economic income away from the oil industry
2239,In what state was the robbery committed?,Connecticut
2240,What was the name of the conflict that occurred in 2013?,Battle of Tell Abyad
2241,What was the era of Green Bay Packers teams?,1920
2242,"What town is located in Baltimore County, Maryland?",Arcadia
2243,What is the common ancestor of all humans?,Curculionidae
2244,What is the name of the first clear and convincing mannerableness in a rabbinical record?,Sallam ibn Mishkam
2245,What is the Gijswijt sequence named after?,Dion Gijswijt
2246,When was the list of properties released?,"February 26, 2021"
2247,What is the oldest English-language theatre group in Chennai?,Madras Players
2248,What is the regional Eccellenza football division?,Emilia-Romagna
2249,What is the population of Arouca in 2011?,22359
2250,"When was Chunk! No, Captain Chunk! released?","April 30, 2013"
2251,What was the name of the second album Jessica Sutta released?,Feline Resurrection
2252,How many athletes competed in the 1906 games?,38
2253,Who is the presiding officer of the Australian Capital Territory Legislative Assembly?,The Speaker of the Australian Capital Territory Legislative Assembly
2254,When did the Tour de France start?,1930
2255,What was the name of the development that was proposed in Florida in the 1920s?,Manhattan
2256,What was the name of the first album to feature the new line-up of Emmure?,Look at Yourself
2257,"Who wrote and directed the movie ""A Beautiful Secret""?",Leopoldo Laborde
2258,The process of finding metadata is called what?,application discovery
2259,How long did Cameron Ellis-Yolmen spend with the Brisbane Lions?,2014 until 2019
2260,What is the name of the largest publisher of superhero comic books?,Marvel Comics
2261,What is the previous name for the plant that is nowhere else in the world?,Utricularia troupinii
2262,What is the name of the group that allowed fans to buy their own percentages of a football club?,The Anti-Arsenal Arsenal Arsenal
2263,How many teams are in the top division?,3
2264,How many sailors are in the 3rd Battalion?,1100
2265,Where did the Free Track and Men's events take place?,"Montreal, Quebec, Canada"
2266,When was the album released in France?,1987
2267,What does the Poojapitiya Divisional Secretariat implement?,Government Policy
2268,What is the other name for Curcuma australasica?,wild turmeric
2269,What is Jennifer Ann Openshaw known for?,starting Women's Financial Network
2270,What was the job of Max Hildebrand?,mechanic and entrepreneur
2271,How many people live in the capital?,4255941
2272,Where is the headquarters for the Shotokan Karate organization?,Tokyo
2273,When was the German album Xandria released?,"May 25, 2007"
2274,What is the name of the software that is used to send and receive TCP and UDP packets?,Packet Sender
2275,What is the name of the best club in Romania for DJs?,Kristal Glam Club
2276,What is the most prominent of the Diplocentridae?,Eumetazoa
2277,How many more marathons has Sara Bareilles won?,2063
2278,Who is producing the Casper 250SOFAR?,WB Electronics
2279,Who is Dr.  Sanjay Mahavir Ram Paswan?,an Indian BJP politician
2280,For what district was he elected?,Enfield Southgate
2281,What type of dicynodont was previously thought to be the second most basal phylum of dicynodonts?,Arthropoda
2282,What is the name of the simplest example of a discontinuous price mechanism?,bidirectional price mechanism
2283,How many times has the city been captured? ,16
2284,"What artist did Bryce Vine collaborate with on the single ""La La Land""?",YG
2285,"Who wrote the lyrics of the ""First hymn of Veria or Veria mou""?",Giorgos Kalogirou
2286,When did the Governor of Punjab start residing in Chandigarh?,1985
2287,What is the largest settlement in the Cyclades?,Thessaloniki
2288,On what coast is Paris located?,the Île-de-France
2289,What city is located on the banks of the Kaweah River?,New York City
2290,What is the name of the song that was recorded by The Partridge Family in 1971?,Sound Magazine
2291,"What is the name of the local authorities that register cars, motorcycles, and aircraft?",vakáváros
2292,Who won the 1995 NASCAR Busch Series?,Johnny Benson
2293,"Who is the daimon that personifies dedication, emulation, eager rivalry, envy, jealousy, and zeal?",Zelus
2294,What university in Japan is the direct наследник of the HSST system?,Aichi University
2295,What was the name of the group that was inspired by Seattle's grunge?,The Love Dimension
2296,How many sea anemones are in the Clitellata?,"more than 2,000"
2297,Who stated that Spain had a position in northern Africa and in the western Mediterranean?,Antonio Maura
2298,What town is Brooklyn located in?,"southern Forrest County, Mississippi"
2299,How long ago was the species Tillandsia extinct?,"17,000 years ago"
2300,How long is the longest flight of tardebigge locks in the UK?,30 narrow locks on a two-and-a-quarter-mile (3.6 km) stretch of the Worcester and Birmingham Canal
2301,The goal of The New Atlantis is to help us avoid the extremes of what?,euphoria and despair
2302,Who won the the 1986 New Zealand National Soccer League?,Merthyr Tigers
2303,How many caps did he get between 1981 and 1987?,10
2304,What does the city of Tianjin consider itself the original home or birthplace of?,Chinese industrial revolution
2305,In what context is the concept of the control surface similar to the classical concept of the free body diagram?,At steady state
2306,What is a traditional dining establishment that also functions as a social club?,supper club
2307,What was the name of the Danish label that released the album?,SteepleChase
2308,What Hong Kong sport does She player play?,futsal
2309,Who was the first cricket player in New Zealand?,George Kitt
2310,Who composed the music for The Berserk?,John Adams
2311,What type of climate does the Melon aphid live in?,tropical
2312,When was the San Diego Art Institute founded?,1941
2313,What are thermoplastic elastomers usually made of?,plastic and  rubber
2314,What is an important factor in the daily life of the Vatican?,Tourism and pilgrimages
2315,What famous American naval base is located at the Siege of Incheon?,Naval Base Norman
2316,What host does the larva feed on?,the growing host
2317,Where does the team play their home games?,Ciudad Vieja
2318,"Which islands are part of the group of islands that form part of Kochi, India?","Vallarpadam is one among the group of islands, that form part of Kochi, in the state of Kerala, India"
2319,"Who wrote the ""Sketch of a Life"" book?",Munro Leaf
2320,Who hosted the ceremony for the new awards?,Joe Flaherty and Andrea Martin
2321,What was the name of the Duke of Frias' son?,Bernardino Fernández de Velasco
2322,What type of sea snail is Clavus pulicarius?,marine gastropod mollusk
2323,Who wrote and directed the movie Baiveriyaa?,Yoosuf Shafeeu
2324,What is the mean level of company profit margin?,zero percent
2325,What is the largest mollusc in the world?,Charonius
2326,How many books of fiction have been published since 181?,181
2327,What is the name of the enzyme that converts sugar ligand to anionic compound?,ceramidase
2328,What building is located in the town of Steinkjer?,Steinkjer Church
2329,What is the goal of the eGranary digloyment?,provide access to information technology and library services in developing countries
2330,What was the name of the play that first used Walker's music?,The Lightning Child
2331,When did Bagohouo gain its status as a commune?,March 2012
2332,Who directed the film L'Aria serena dell'ovest?,Silvio Soldini
2333,Where is KYWXDJ broadcasting?,Amarillo
2334,How many companies operate in Taichung?,16
2335,Which American botanist was born in 1926 and grew up in Chicago?,Nathaniel Alfred Birdsey
2336,Where are the Wolverhampton Wolves located?,"Wolverhampton, England"
2337,What is the name of the program that created hydrogen bombs?,Advanced Treaty-Based Materials Programme
2338,What is the common name for the tree-kangaroo?,Vogelkop
2339,For what network did Executive Stress air from 1986 to 1988?,ITV
2340,What was the name of the eleventh full-length studio album by psychedelic pop group?,Paralytic Stalks
2341,What is the name of the tower at 1450 Poydras Street?,Benson Tower
2342,How many people live in the village?,6401
2343,Who built the main house of the farm house?,Waring family
2344,What is the abdomen of the Mordellistena vafer?,long and wide
2345,What year did Schubert make her first pro debut?,2018
2346,In what city did Anna Townsend die?,Los Angeles
2347,What was the name of the sixth Rebbe of the Sadigura Hasidic Dynasty?,Yisrael Moshe Friedman
2348,Who was the author of The Kenyon Review?,Alan Burns
2349,Where is the Frossard rifle embedded?,his shoulder
2350,How many Chinese primary schools are in Perak?,185
2351,What constituency was Sylvie Desmarescaux a member of?,the Senate of France
2352,Who won the 1976 Rhodesian Grand Prix?,Roy Klomfass
2353,What nationality is Erik Arvinder born?,Swedish
2354,How many inhabitants were there in Baarland in 2001,291
2355,How many people lived in the Oranjemund district in 2011?,9837
2356,What year was Wade Reynolds born?,1929
2357,How long is the tributary of the river Arieș in Romania?,11 km
2358,What is an early copy of the New Testament in Greek?,Papyrus 30 (in the Gregory-Aland numbering)
2359,What is the most populas settlement in the Southern Downs Region?,Broadwater
2360,What was the name of the third vessel to be launched in 2009?,HMS Black Swan
2361,What gene is encoded by the KDM4B?,KDM4B
2362,Where is the Castle located?,southwestern British Columbia
2363,What is the name of the well known quota quickie film?,Blaze
2364,In what city and state was the 1998 US Open hosted?,New York
2365,How does the author describe the role of teaching in the education process?,"""education through recreation"""
2366,Which park is located to the southwest of the island of Tortola?,Mount Sage
2367,What town was William Hanna Clarke born in?,Glasgow
2368,What is the most common freshwater fish?,Squalius microlepis
2369,When did Poirier become a UFC champion?,2009
2370,What is the area of Russell Lea largely absent from?,the main streets
2371,Who was the first Ugandan woman to qualify as an archaeologist?,Catherine Namono
2372,Who starred in the film Heart of Maryland?,Dolores Costello
2373,Who is an art historian and professor at Queens College?,Anna C. Chave
2374,What state is Virginia's furniture originating from?,Virginia
2375,How many technical colleges are operated by the state of Wisconsin?,16
2376,What was the result of the 1831 by-election?,Ferguson was returned
2377,What is another name for the blue moth?,kite
2378,What is one way to initiate a go-around?,by the pilot flying
2379,What sport do the women's national team of Finland play?,international goalball
2380,How many events does Dream 7: Featherweight Grand Prix have in 2009?,7
2381,"What artist issued the song ""Prblms""?",6lack
2382,How is Brain Electrical Oscillation Signature Profiling (BEOSP or BEOS) defined?,an EEG technique by which a suspect's participation in a crime is detected by eliciting electrophysiological impulses
2383,What was the price of the unpowered Samsung NC10?,499 USD (299 GBP)
2384,How many top 5s did Gordon Racing have?,29
2385,In what county is Quitman located?,Clarke County
2386,In what area of London is Graeme Danby born?,County Durham
2387,When was Twilight Princess: Rise of Ayden released?,"January 29, 2011"
2388,How many people lived at the time of the census in 2016?,95
2389,When was the Agricultural Experiment Station Barn built?,1922
2390,What percentage of the population speaks both French and English?,60%
2391,Who delivered an impassioned call for a disciplinary embrace of public sociology in 2004?,Michael Burawoy
2392,Who was the captain of the Sri Lanka cricket team?,Allan Border
2393,What was the Swedish channel for wrestling?,SVT Extra
2394,What term is used in the executive branch of the United States government to designate a person held in a detention center?,Ghost detainee
2395,What was the name of the 90's dance artist that Farley Jackmaster Funk produced?,Dr. Funk
2396,What are daggers used in?,"Jodhpur jiayanti film ""Jodhpur Jayanti"""
2397,"What year did Benjamin Ingrosso release his first single, ""Dance You Off""?",2018
2398,When was Samuel ben Judah ibn Tibbon born?,1150
2399,What is the population of the arrondissement of Issoudun?,"34,252 (2016)"
2400,What is the name of the far right group that is based in Washington?,Patriot Prayer
2401,"Where is the ""mini-type"" pisonet primarily located?",the areas of Metro Manila and the Philippines
2402,Who designed the King's uniform for the company's corporate jacket?,John Nash
2403,"What artist was the artist behind the song ""Wake Up in the Sky""?",Bruno Mars
2404,What was the name of Owen's third album?,Barefoot Blue Jean Night
2405,"Who directed the movie ""Katharevision""?",Ananth Narayan Mahadevan
2406,In what area of San Antonio is KLRN available for viewers?,downtown
2407,Who was the 2011–12 Indian cricket season co-sponsored by?,the state government of Maharashtra
2408,What is the symbol of peace and peril?,Eviota pellucida
2409,How many people were killed in the Bloody Sunday protests?,13
2410,What was the name of the pre-grouping railway company in the English Midlands?,Ashby and Nuneaton Joint Railway
2411,Where did the Lima Steele's play their home games?,on the campus of the Ohio State University at Lima
2412,Where did the Men's 100-yard dash event take place?,1930 British Empire Games
2413,What is the name of the league founded by NYPD?,NYPD Cricket League
2414,What is the total area of the Tsau ǁKhaeb?,"26,000 km2 (10,000 sq mi)"
2415,Who was the best result in the World Cup in individual Skiing competitions?,Mario Waksman
2416,Which NASA computation and computer scientist is a visiting professor of chemistry and Director of Research at the Center for Solar Energy at NASA's Goddard Space Flight Center?,Hugh Frederick S. Paley
2417,What's the name of the movie targeted at younger audiences?,The Opportunity
2418,How many tropical cyclones did the 1891 Atlantic hurricane season have?,10
2419,What was the name of Cray's second LP?,Bad Influence
2420,What is the largest tributary of the river Przedmieście?,Łąka
2421,In what architectural style was the Merrick County Courthouse designed?,Classical Revival style
2422,What is the name of the historic plantation house located near the grounds of Central State Hospital?,Mayfield Cottage
2423,What is the habitat of Dysauxes servula?,"flat, rising to a height of about 50 cm (16 in)"
2424,What is a database of DNA methylation data derived from?,next-generation sequencing
2425,What is the name of the unusual grave shelter located in the Airmount Cemetery?,The Airmount Grave Shelter
2426,How many inhabitants live in the Niederberndorf?,229
2427,What can be defined as a subset of finite affine space over a three-element field?,cap set
2428,What was the name of the player that was a part of the 1971 East Chicago Washington High School Senators basketball team?,Trgovich
2429,What is the meaning of zoology?,the branch of biology that studies the animal kingdom
2430,How many dollars were Bacon Academy able to make available for the people of Colchester?,thirty-five thousand dollars
2431,When was Yamaska's representation in the Legislative Assembly ended?,1867
2432,What color of dye is applied to nickel records that resemble that of vinyl?,blue
2433,How many recursive similarity functions did Actor name?,8
2434,The Main One Cable is a submarine communications cable from what country to South Africa?,Portugal
2435,Who directed the film Eagle vs Shark?,Taika Waititi
2436,How many properties are listed on the National Register of Historic Places?,61
2437,Who was the editor of the Monthly News?,A. C. Benson
2438,What is the largest zoo in Europe?,The Zoo In Thetâtre
2439,What is the number of grazing animals per unit weight of herbage?,herbage biomass
2440,What is the name of the archaeological site in Dinwiddie County?,The Conover Archaeological Site
2441,What does the name of Njeru's town rank in terms of its population?,largest
2442,The Rajpath is an important religious site in which state?,Rajasthan
2443,What is the name of the Roman Catholic archdiocese in Udine?,Archdiocese of Udine
2444,What is the name of the mayor of a city if it is a borough?,Bob Yousefian
2445,When was the Owen County Courthouse built?,1910–1911
2446,How many victories did Captain Alfred William Saunders have?,12
2447,What infamous infamous player died in 1991?,Edward Jerome Moriarty
2448,What is the name of the second son of a engineering professor and a law student at Peking University?,Y
2449,When was the smock mill built?,1918
2450,What is the most common functional programming style?,JOIN prefixing method
2451,Whiteway was initially supported by what party?,the Liberal Party
2452,Who was signed to a 6-year contract with the Cleveland Browns?,Jon Lester
2453,What is the other church in the city that was a parish?,St Peter's Church
2454,How many rounds was Muhammad Ali fought in?,10
2455,What is the cell that is in between a fibroblast and a muscle cell called?,myofibroblast
2456,Which Virginia state hosted the 1982 Central Fidelity Banks International?,Richmond
2457,What magazine did Stephen Wayda work for?,Playboy
2458,Who is the director of the show Silvia Pinal?,Carla Estrada
2459,"What does the ""Take the 'A' Train"" represent?",jazz standard
2460,What is the name of the Japanese company that makes styles of Buddhist art?,Tanaka-Iga Butsugu
2461,What does silk use to create art?,traditional supplies of 100% silk fabric
2462,What is the name of the railway from Nanjing to Chengdu?,The ChaoChow–Swatow Railway
2463,"Who wrote ""The Outermost House""?",Henry Beston
2464,How many victims of rape survived the conviction trials?,8
2465,What nationality was Alex Luna?,Ukrainian
2466,When was the first archaeological excavation in Korea?,1748
2467,Who directed the film French to auction?,Serge Korber
2468,Which Dutch artist was possibly a pupil of Nicolaes Eliaszoon Pickenoy?,Cornelis van der Voort
2469,What other countries did the Maiestas vetus infamously migrate to?,New Zealand
2470,What district has Woodard been a member of since 2013?,22nd
2471,What type of ants are there in the genus?,arboreal
2472,When did the article first appear?,September 1982
2473,Who wrote the music for the movie?,M. M. Keeravani
2474,What is the world's most powerful digital camera produced?,The Canon EF 800 mm f/5.6L IS USM lens
2475,Where did the crash of the May 1923 Air Union Farman Goliath occur?,"Monsures, Somme, France"
2476,What does the word Gueldenstaedtia mean?,flowering plants
2477,When was Malcolm Gregory born?,26 October 1946
2478,What nationality was Eva Henderson Mottley?,British
2479,What name was given to the theorem on the existence and cardinality of models?,Löwenheim–Skolem theorem
2480,What was the birth date of Bryon Anthony McCane II?,"September 12, 1976"
2481,"What does ""Eugene Draw"" stand for?",Electric violinist
2482,Which documentary was made about the decline of communism in the 1956 Hungarian Revolution?,Torn from the Flag
2483,What was the name of Madonna's second single?,Amor Purple
2484,What is the name of the Paris-based monthly that focuses on culture and technology?,Trois Couleurs
2485,What is the other name for the Berkshire Conference of Women Historians?,Little Berks
2486,Who wrote The Dark Knight Returns?,Robert Silverberg
2487,Which woman was the first woman to head a union?,Mabel Cordelia Holloway Walker
2488,Where is St. Louis located?,geographical center of Minnesota
2489,How many inhabitants were there in the municipality in 2013?,40603
2490,What nationality is Amy Corbett?,Scottish
2491,What did the band Pink Band become engaged to?,Priyanka Sethi
2492,"Who wrote the episode ""Bart of Darkness""?",Dan McGrath
2493,Where is the highway to Mut located?,Taurus Mountains
2494,What was the name of the Latgale regionalist political party?,The Light of Latgale
2495,What is the name of the ABC daytime soap opera that is set in Pine Valley?,All My Children
2496,What are the mascots at Souris Regional School?,Spartan and sports teams
2497,Who won the women's singles tennis title at the 2007 Wimbledon Championships?,Venus Williams
2498,What year was Murder is the Pay-Off set?,1951
2499,When was Justus Azzopardi born?,18th century
2500,What is the name of the largest encyclopedia?,Encyclopædia Britannica
2501,What newspaper provided complete results on the 2006 IAAF World Cross Country Championships?,The New York Times
2502,What is the traditional habitat of the orchid?,subtropical or tropical
2503,How many churches were destroyed in Kosovo between June 1999 and March 2004?,155
2504,What was the first opiate analogue?,Acetylpropionylmorphine
2505,How many times was Tasmania captain in international cricket matches?,8
2506,How does the University of Washington rank among public health schools?,sixth
2507,Which Queen album was released in the UK leg of the album chart?,Queen II
2508,What is the name of the CBS affiliate in Indianapolis?,WBNS-TV
2509,How many people were killed in the Podujevo bombing?,12
2510,What was the main subject of Stauffer's studies?,art
2511,What is another term for Topic-based Vector Space Model?,(TVSM)
2512,What was the name of the discontinued operating system developed by IBM for ACP?,IBM Airline Control Program
2513,What is the name of the single that was released after the failed album?,The Thing I Like
2514,What was the name of the short film that was a lost film?,Engineer's Sweetheart
2515,In what county is Salem located?,"Benton County, Mississippi"
2516,What is the name of the well known toy in Seattle?,Tom Akeya
2517,What is the name of the company that she was previously the president of?,Biotechnology Regional Development Committee
2518,How many sea anemones are in the Mangeliidae?,more than a million
2519,"Who designed the London, Tilbury and Southend Railway?",Thomas Whitelegg
2520,Where is the Correctionville city of birth?,Woodbury
2521,What year did Nylon start winning silver medals in the athletics?,1987
2522,Who performs the show in front of a live audience?,Sloane and Keatley
2523,What is the name of the Spanish national road?,The N-152
2524,What body of water borders Boca Ciega Bay?,"Gulfport, Florida"
2525,What role did she play in Destiny's Child?,Six LeMeure
2526,Where is Tesouro located?,Central-West Region of Brazil
